personId,roadUser,gender,age,ageGroup,crashId
2519,Driver,Female,64,40_to_64,20222043
2520,Driver,Male,78,75_or_older,20221171
2521,Passenger,Male,16,0_to_16,20226021
2522,Driver,Male,70,65_to_74,20221155
2523,Driver,Male,69,65_to_74,20222055
2524,Passenger,Male,3,0_to_16,20223096
2525,Driver,Male,39,26_to_39,20223270
2526,Driver,Male,41,40_to_64,20221028
2527,Pedestrian,Female,43,40_to_64,20227011
2528,Driver,Male,42,40_to_64,20223261
2529,Passenger,Female,38,26_to_39,20228014
2530,Pedestrian,Male,59,40_to_64,20223183
2531,Pedal cyclist,Male,65,65_to_74,20224009
2532,Driver,Male,27,26_to_39,20222075
2533,Driver,Male,36,26_to_39,20223185
2534,Driver,Male,53,40_to_64,20223054
2535,Motorcycle rider,Male,17,17_to_25,20223269
2536,Driver,Male,28,26_to_39,20221178
2537,Passenger,Male,17,17_to_25,20222202
2538,Passenger,Male,52,40_to_64,20228015
2539,Driver,Male,46,40_to_64,20223168
2540,Pedestrian,Male,19,17_to_25,20221065
2541,Driver,Male,30,26_to_39,20223110
2542,Pedestrian,Male,27,26_to_39,20223088
2543,Motorcycle rider,Male,24,17_to_25,20223043
2544,Driver,Male,30,26_to_39,20223197
2545,Driver,Male,22,17_to_25,20223197
2546,Motorcycle rider,Male,23,17_to_25,20223236
2547,Driver,Male,75,75_or_older,20221227
2548,Driver,Female,72,65_to_74,20221100
2549,Driver,Male,77,75_or_older,20223134
2550,Passenger,Male,17,17_to_25,20224028
2551,Driver,Male,17,17_to_25,20224028
2552,Motorcycle rider,Male,72,65_to_74,20221221
2553,Pedestrian,Male,74,65_to_74,20221090
2554,Driver,Male,74,65_to_74,20222009
2555,Pedestrian,Male,63,40_to_64,20223006
2556,Passenger,Male,12,0_to_16,20223235
2557,Driver,Male,28,26_to_39,20221050
2558,Driver,Male,80,75_or_older,20223273
2559,Motorcycle rider,Male,37,26_to_39,20223190
2560,Motorcycle rider,Male,47,40_to_64,20223243
2561,Driver,Male,36,26_to_39,20222078
2562,Motorcycle rider,Male,66,65_to_74,20221263
2563,Driver,Male,60,40_to_64,20223237
2564,Driver,Male,80,75_or_older,20226020
2565,Driver,Male,54,40_to_64,20221211
2566,Driver,Male,36,26_to_39,20222074
2567,Pedestrian,Male,81,75_or_older,20226012
2568,Driver,Male,60,40_to_64,20221222
2569,Driver,Male,20,17_to_25,20228005
2570,Driver,Male,34,26_to_39,20222096
2571,Driver,Male,53,40_to_64,20223224
2572,Driver,Male,76,75_or_older,20221144
2573,Pedestrian,Female,84,75_or_older,20221146
2574,Driver,Female,80,75_or_older,20223083
2575,Driver,Female,51,40_to_64,20226010
2576,Passenger,Male,16,0_to_16,20226010
2577,Driver,Male,61,40_to_64,20223104
2578,Pedal cyclist,Female,47,40_to_64,20222025
2579,Motorcycle rider,Male,18,17_to_25,20224047
2580,Pedestrian,Female,24,17_to_25,20227032
2581,Motorcycle rider,Male,26,26_to_39,20223149
2582,Driver,Female,31,26_to_39,20223192
2583,Motorcycle rider,Male,60,40_to_64,20223106
2584,Pedal cyclist,Male,51,40_to_64,20224011
