locationId,state,nationalRemoteAreas,sa4Name,lgaName,nationalRoadType,crashId
20233257_QLD_Major Cities of Australia_Moreton Bay - South_Moreton Bay_Sub-arterial Road,QLD,Major Cities of Australia,Moreton Bay - South,Moreton Bay,Sub-arterial Road,20233257
20233057_QLD_Outer Regional Australia_Moreton Bay - North_Somerset_Local Road,QLD,Outer Regional Australia,Moreton Bay - North,Somerset,Local Road,20233057
20233178_QLD_Major Cities of Australia_Logan - Beaudesert_Logan_Local Road,QLD,Major Cities of Australia,Logan - Beaudesert,Logan,Local Road,20233178
20231233_NSW_Inner Regional Australia_Coffs Harbour - Grafton_Clarence Valley_Sub-arterial Road,NSW,Inner Regional Australia,Coffs Harbour - Grafton,Clarence Valley,Sub-arterial Road,20231233
20234008_SA_Major Cities of Australia_Adelaide - North_Port Adelaide Enfield_Arterial Road,SA,Major Cities of Australia,Adelaide - North,Port Adelaide Enfield,Arterial Road,20234008
20232175_VIC_Major Cities of Australia_Melbourne - North East_Whittlesea_Arterial Road,VIC,Major Cities of Australia,Melbourne - North East,Whittlesea,Arterial Road,20232175
20232197_VIC_Inner Regional Australia_Hume_Wangaratta_Local Road,VIC,Inner Regional Australia,Hume,Wangaratta,Local Road,20232197
20231186_NSW_Inner Regional Australia_New England and North West_Tamworth_Arterial Road,NSW,Inner Regional Australia,New England and North West,Tamworth,Arterial Road,20231186
20232212_VIC_Inner Regional Australia_Shepparton_Greater Shepparton_Sub-arterial Road,VIC,Inner Regional Australia,Shepparton,Greater Shepparton,Sub-arterial Road,20232212
20231235_NSW_Outer Regional Australia_Murray_Murray River_Sub-arterial Road,NSW,Outer Regional Australia,Murray,Murray River,Sub-arterial Road,20231235
20233219_QLD_Outer Regional Australia_Cairns_Cairns_National or State Highway,QLD,Outer Regional Australia,Cairns,Cairns,National or State Highway,20233219
20232151_VIC_Outer Regional Australia_North West_Northern Grampians_Arterial Road,VIC,Outer Regional Australia,North West,Northern Grampians,Arterial Road,20232151
20233010_QLD_Inner Regional Australia_Darling Downs - Maranoa_Southern Downs_Collector Road,QLD,Inner Regional Australia,Darling Downs - Maranoa,Southern Downs,Collector Road,20233010
20231058_NSW_Outer Regional Australia_Capital Region_Eurobodalla_National or State Highway,NSW,Outer Regional Australia,Capital Region,Eurobodalla,National or State Highway,20231058
20236015_TAS_Outer Regional Australia_South East_Kingborough_Sub-arterial Road,TAS,Outer Regional Australia,South East,Kingborough,Sub-arterial Road,20236015
20232070_VIC_Major Cities of Australia_Melbourne - West_Wyndham_Arterial Road,VIC,Major Cities of Australia,Melbourne - West,Wyndham,Arterial Road,20232070
20234054_SA_Inner Regional Australia_South Australia - South East_Alexandrina_Collector Road,SA,Inner Regional Australia,South Australia - South East,Alexandrina,Collector Road,20234054
20237002_NT_Very Remote Australia_Northern Territory - Outback_Victoria Daly_National or State Highway,NT,Very Remote Australia,Northern Territory - Outback,Victoria Daly,National or State Highway,20237002
20232206_VIC_Major Cities of Australia_Geelong_Greater Geelong_National or State Highway,VIC,Major Cities of Australia,Geelong,Greater Geelong,National or State Highway,20232206
20234090_SA_Major Cities of Australia_Adelaide - North_Playford_National or State Highway,SA,Major Cities of Australia,Adelaide - North,Playford,National or State Highway,20234090
20231049_NSW_Inner Regional Australia_Coffs Harbour - Grafton_Coffs Harbour_National or State Highway,NSW,Inner Regional Australia,Coffs Harbour - Grafton,Coffs Harbour,National or State Highway,20231049
20232220_VIC_Major Cities of Australia_Melbourne - West_Melton_Sub-arterial Road,VIC,Major Cities of Australia,Melbourne - West,Melton,Sub-arterial Road,20232220
20231134_NSW_Major Cities of Australia_Illawarra_Shellharbour_Arterial Road,NSW,Major Cities of Australia,Illawarra,Shellharbour,Arterial Road,20231134
20234041_SA_Outer Regional Australia_Barossa - Yorke - Mid North_Barunga West_Local Road,SA,Outer Regional Australia,Barossa - Yorke - Mid North,Barunga West,Local Road,20234041
20233217_QLD_Major Cities of Australia_Sunshine Coast_Sunshine Coast_Collector Road,QLD,Major Cities of Australia,Sunshine Coast,Sunshine Coast,Collector Road,20233217
20231239_NSW_Major Cities of Australia_Sydney - Blacktown_Blacktown_Collector Road,NSW,Major Cities of Australia,Sydney - Blacktown,Blacktown,Collector Road,20231239
20231202_NSW_Inner Regional Australia_Southern Highlands and Shoalhaven_Shoalhaven_Arterial Road,NSW,Inner Regional Australia,Southern Highlands and Shoalhaven,Shoalhaven,Arterial Road,20231202
20234009_SA_Outer Regional Australia_South Australia - South East_Wattle Range_Sub-arterial Road,SA,Outer Regional Australia,South Australia - South East,Wattle Range,Sub-arterial Road,20234009
20233194_QLD_Inner Regional Australia_Wide Bay_Gympie_National or State Highway,QLD,Inner Regional Australia,Wide Bay,Gympie,National or State Highway,20233194
20233187_QLD_Outer Regional Australia_Darling Downs - Maranoa_Western Downs_National or State Highway,QLD,Outer Regional Australia,Darling Downs - Maranoa,Western Downs,National or State Highway,20233187
20231105_NSW_Major Cities of Australia_Hunter Valley exc Newcastle_Cessnock_Local Road,NSW,Major Cities of Australia,Hunter Valley exc Newcastle,Cessnock,Local Road,20231105
20232134_VIC_Inner Regional Australia_Latrobe - Gippsland_Baw Baw_National or State Highway,VIC,Inner Regional Australia,Latrobe - Gippsland,Baw Baw,National or State Highway,20232134
20231077_NSW_Major Cities of Australia_Sydney - Ryde_Hornsby_Local Road,NSW,Major Cities of Australia,Sydney - Ryde,Hornsby,Local Road,20231077
20231031_NSW_Inner Regional Australia_Capital Region_Goulburn Mulwaree_National or State Highway,NSW,Inner Regional Australia,Capital Region,Goulburn Mulwaree,National or State Highway,20231031
20234065_SA_Major Cities of Australia_Adelaide - South_Onkaparinga_Sub-arterial Road,SA,Major Cities of Australia,Adelaide - South,Onkaparinga,Sub-arterial Road,20234065
20232091_VIC_Major Cities of Australia_Melbourne - South East_Monash_Arterial Road,VIC,Major Cities of Australia,Melbourne - South East,Monash,Arterial Road,20232091
20236023_TAS_Inner Regional Australia_Launceston and North East_Launceston_National or State Highway,TAS,Inner Regional Australia,Launceston and North East,Launceston,National or State Highway,20236023
20234024_SA_Remote Australia_South Australia - Outback_Unincorporated SA_Arterial Road,SA,Remote Australia,South Australia - Outback,Unincorporated SA,Arterial Road,20234024
20232010_VIC_Major Cities of Australia_Melbourne - Inner_Merri-bek_Sub-arterial Road,VIC,Major Cities of Australia,Melbourne - Inner,Merri-bek,Sub-arterial Road,20232010
20233077_QLD_Major Cities of Australia_Gold Coast_Gold Coast_Collector Road,QLD,Major Cities of Australia,Gold Coast,Gold Coast,Collector Road,20233077
20231094_NSW_Major Cities of Australia_Sydney - City and Inner South_Sydney_Arterial Road,NSW,Major Cities of Australia,Sydney - City and Inner South,Sydney,Arterial Road,20231094
20231055_NSW_Major Cities of Australia_Hunter Valley exc Newcastle_Maitland_Local Road,NSW,Major Cities of Australia,Hunter Valley exc Newcastle,Maitland,Local Road,20231055
20231270_NSW_Major Cities of Australia_Newcastle and Lake Macquarie_Lake Macquarie_Arterial Road,NSW,Major Cities of Australia,Newcastle and Lake Macquarie,Lake Macquarie,Arterial Road,20231270
20231246_NSW_Inner Regional Australia_Far West and Orana_Dubbo_National or State Highway,NSW,Inner Regional Australia,Far West and Orana,Dubbo,National or State Highway,20231246
20231275_NSW_Inner Regional Australia_Capital Region_Hilltops_Arterial Road,NSW,Inner Regional Australia,Capital Region,Hilltops,Arterial Road,20231275
20237020_NT_Outer Regional Australia_Darwin_Darwin_Arterial Road,NT,Outer Regional Australia,Darwin,Darwin,Arterial Road,20237020
20234100_SA_Inner Regional Australia_South Australia - South East_Alexandrina_Local Road,SA,Inner Regional Australia,South Australia - South East,Alexandrina,Local Road,20234100
20234073_SA_Outer Regional Australia_Barossa - Yorke - Mid North_Copper Coast_Arterial Road,SA,Outer Regional Australia,Barossa - Yorke - Mid North,Copper Coast,Arterial Road,20234073
20233220_QLD_Inner Regional Australia_Ipswich_Somerset_National or State Highway,QLD,Inner Regional Australia,Ipswich,Somerset,National or State Highway,20233220
20236002_TAS_Outer Regional Australia_West and North West_Burnie_Collector Road,TAS,Outer Regional Australia,West and North West,Burnie,Collector Road,20236002
20231110_NSW_Inner Regional Australia_Riverina_Lockhart_Arterial Road,NSW,Inner Regional Australia,Riverina,Lockhart,Arterial Road,20231110
20233028_QLD_Major Cities of Australia_Brisbane - North_Brisbane_Collector Road,QLD,Major Cities of Australia,Brisbane - North,Brisbane,Collector Road,20233028
20234074_SA_Outer Regional Australia_South Australia - South East_Wattle Range_Sub-arterial Road,SA,Outer Regional Australia,South Australia - South East,Wattle Range,Sub-arterial Road,20234074
20233168_QLD_Very Remote Australia_Queensland - Outback_Cloncurry_National or State Highway,QLD,Very Remote Australia,Queensland - Outback,Cloncurry,National or State Highway,20233168
20234047_SA_Outer Regional Australia_South Australia - South East_Naracoorte Lucindale_Arterial Road,SA,Outer Regional Australia,South Australia - South East,Naracoorte Lucindale,Arterial Road,20234047
20233171_QLD_Inner Regional Australia_Toowoomba_Toowoomba_Sub-arterial Road,QLD,Inner Regional Australia,Toowoomba,Toowoomba,Sub-arterial Road,20233171
20233055_QLD_Major Cities of Australia_Sunshine Coast_Sunshine Coast_Sub-arterial Road,QLD,Major Cities of Australia,Sunshine Coast,Sunshine Coast,Sub-arterial Road,20233055
20232109_VIC_Major Cities of Australia_Mornington Peninsula_Frankston_Local Road,VIC,Major Cities of Australia,Mornington Peninsula,Frankston,Local Road,20232109
20234049_SA_Major Cities of Australia_Adelaide - West_Charles Sturt_Sub-arterial Road,SA,Major Cities of Australia,Adelaide - West,Charles Sturt,Sub-arterial Road,20234049
20231114_NSW_Outer Regional Australia_New England and North West_Narrabri_National or State Highway,NSW,Outer Regional Australia,New England and North West,Narrabri,National or State Highway,20231114
20231093_NSW_Inner Regional Australia_Richmond - Tweed_Tweed_Arterial Road,NSW,Inner Regional Australia,Richmond - Tweed,Tweed,Arterial Road,20231093
20234050_SA_Remote Australia_South Australia - South East_Southern Mallee_Local Road,SA,Remote Australia,South Australia - South East,Southern Mallee,Local Road,20234050
20231130_NSW_Inner Regional Australia_Capital Region_Upper Lachlan_National or State Highway,NSW,Inner Regional Australia,Capital Region,Upper Lachlan,National or State Highway,20231130
20233261_QLD_Inner Regional Australia_Ipswich_Somerset_Sub-arterial Road,QLD,Inner Regional Australia,Ipswich,Somerset,Sub-arterial Road,20233261
20233218_QLD_Inner Regional Australia_Ipswich_Ipswich_National or State Highway,QLD,Inner Regional Australia,Ipswich,Ipswich,National or State Highway,20233218
20231257_NSW_Inner Regional Australia_Capital Region_Goulburn Mulwaree_Arterial Road,NSW,Inner Regional Australia,Capital Region,Goulburn Mulwaree,Arterial Road,20231257
20233159_QLD_Major Cities of Australia_Moreton Bay - South_Moreton Bay_Local Road,QLD,Major Cities of Australia,Moreton Bay - South,Moreton Bay,Local Road,20233159
20231112_NSW_Inner Regional Australia_Murray_Greater Hume_Sub-arterial Road,NSW,Inner Regional Australia,Murray,Greater Hume,Sub-arterial Road,20231112
20233096_QLD_Outer Regional Australia_Cairns_Tablelands_National or State Highway,QLD,Outer Regional Australia,Cairns,Tablelands,National or State Highway,20233096
20231121_NSW_Outer Regional Australia_Central West_Forbes_National or State Highway,NSW,Outer Regional Australia,Central West,Forbes,National or State Highway,20231121
20232011_VIC_Major Cities of Australia_Melbourne - Outer East_Yarra Ranges_Arterial Road,VIC,Major Cities of Australia,Melbourne - Outer East,Yarra Ranges,Arterial Road,20232011
20231237_NSW_Outer Regional Australia_New England and North West_Gwydir_Local Road,NSW,Outer Regional Australia,New England and North West,Gwydir,Local Road,20231237
20231096_NSW_Inner Regional Australia_Sydney - Outer South West_Wollondilly_Local Road,NSW,Inner Regional Australia,Sydney - Outer South West,Wollondilly,Local Road,20231096
20233202_QLD_Inner Regional Australia_Ipswich_Scenic Rim_Local Road,QLD,Inner Regional Australia,Ipswich,Scenic Rim,Local Road,20233202
20231017_NSW_Outer Regional Australia_New England and North West_Moree Plains_National or State Highway,NSW,Outer Regional Australia,New England and North West,Moree Plains,National or State Highway,20231017
20232229_VIC_Major Cities of Australia_Melbourne - Inner East_Boroondara_Arterial Road,VIC,Major Cities of Australia,Melbourne - Inner East,Boroondara,Arterial Road,20232229
20233216_QLD_Inner Regional Australia_Wide Bay_Fraser Coast_Local Road,QLD,Inner Regional Australia,Wide Bay,Fraser Coast,Local Road,20233216
20231169_NSW_Inner Regional Australia_New England and North West_Glen Innes Severn_Local Road,NSW,Inner Regional Australia,New England and North West,Glen Innes Severn,Local Road,20231169
20231181_NSW_Outer Regional Australia_Far West and Orana_Dubbo_Arterial Road,NSW,Outer Regional Australia,Far West and Orana,Dubbo,Arterial Road,20231181
20231215_NSW_Inner Regional Australia_Sydney - Baulkham Hills and Hawkesbury_Hornsby_Arterial Road,NSW,Inner Regional Australia,Sydney - Baulkham Hills and Hawkesbury,Hornsby,Arterial Road,20231215
20231199_NSW_Outer Regional Australia_New England and North West_Narrabri_Sub-arterial Road,NSW,Outer Regional Australia,New England and North West,Narrabri,Sub-arterial Road,20231199
20236030_TAS_Outer Regional Australia_West and North West_Kentish_Sub-arterial Road,TAS,Outer Regional Australia,West and North West,Kentish,Sub-arterial Road,20236030
20234092_SA_Inner Regional Australia_Barossa - Yorke - Mid North_Goyder_Local Road,SA,Inner Regional Australia,Barossa - Yorke - Mid North,Goyder,Local Road,20234092
20231212_NSW_Major Cities of Australia_Sydney - Eastern Suburbs_Randwick_Collector Road,NSW,Major Cities of Australia,Sydney - Eastern Suburbs,Randwick,Collector Road,20231212
20234040_SA_Major Cities of Australia_Adelaide - South_Marion_National or State Highway,SA,Major Cities of Australia,Adelaide - South,Marion,National or State Highway,20234040
20231208_NSW_Very Remote Australia_Far West and Orana_Cobar_Arterial Road,NSW,Very Remote Australia,Far West and Orana,Cobar,Arterial Road,20231208
20231069_NSW_Inner Regional Australia_Mid North Coast_Mid-Coast_National or State Highway,NSW,Inner Regional Australia,Mid North Coast,Mid-Coast,National or State Highway,20231069
20232149_VIC_Major Cities of Australia_Melbourne - North West_Brimbank_National or State Highway,VIC,Major Cities of Australia,Melbourne - North West,Brimbank,National or State Highway,20232149
20233082_QLD_Major Cities of Australia_Ipswich_Brisbane_Local Road,QLD,Major Cities of Australia,Ipswich,Brisbane,Local Road,20233082
20232140_VIC_Major Cities of Australia_Melbourne - Outer East_Maroondah_National or State Highway,VIC,Major Cities of Australia,Melbourne - Outer East,Maroondah,National or State Highway,20232140
20232167_VIC_Major Cities of Australia_Melbourne - Inner_Melbourne_Collector Road,VIC,Major Cities of Australia,Melbourne - Inner,Melbourne,Collector Road,20232167
20232075_VIC_Major Cities of Australia_Melbourne - West_Hobsons Bay_Local Road,VIC,Major Cities of Australia,Melbourne - West,Hobsons Bay,Local Road,20232075
