locationId,state,nationalRemoteAreas,sa4Name,lgaName,nationalRoadType,crashId
20241151_NSW_Outer Regional Australia_Far West and Orana_Warrumbungle_Local Road,NSW,Outer Regional Australia,Far West and Orana,Warrumbungle,Local Road,20241151
20243158_QLD_Outer Regional Australia_Mackay - Isaac - Whitsunday_Whitsunday_National or State Highway,QLD,Outer Regional Australia,Mackay - Isaac - Whitsunday,Whitsunday,National or State Highway,20243158
20241286_NSW_Outer Regional Australia_Hunter Valley exc Newcastle_Upper Hunter_Arterial Road,NSW,Outer Regional Australia,Hunter Valley exc Newcastle,Upper Hunter,Arterial Road,20241286
20243102_QLD_Major Cities of Australia_Sunshine Coast_Noosa_Sub-arterial Road,QLD,Major Cities of Australia,Sunshine Coast,Noosa,Sub-arterial Road,20243102
20241303_NSW_Major Cities of Australia_Newcastle and Lake Macquarie_Port Stephens_Arterial Road,NSW,Major Cities of Australia,Newcastle and Lake Macquarie,Port Stephens,Arterial Road,20241303
20246029_TAS_Outer Regional Australia_Launceston and North East_West Tamar_National or State Highway,TAS,Outer Regional Australia,Launceston and North East,West Tamar,National or State Highway,20246029
20248005_ACT_Major Cities of Australia_Australian Capital Territory_Unincorporated ACT_Arterial Road,ACT,Major Cities of Australia,Australian Capital Territory,Unincorporated ACT,Arterial Road,20248005
20244018_SA_Major Cities of Australia_Adelaide - North_Gawler_Collector Road,SA,Major Cities of Australia,Adelaide - North,Gawler,Collector Road,20244018
20241060_NSW_Inner Regional Australia_Mid North Coast_Mid-Coast_Arterial Road,NSW,Inner Regional Australia,Mid North Coast,Mid-Coast,Arterial Road,20241060
20242022_VIC_Inner Regional Australia_Hume_Alpine_Local Road,VIC,Inner Regional Australia,Hume,Alpine,Local Road,20242022
20241037_NSW_Major Cities of Australia_Central Coast_Central Coast (NSW)_Arterial Road,NSW,Major Cities of Australia,Central Coast,Central Coast (NSW),Arterial Road,20241037
